Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter
Meesho,RealEstate,Rental Tech,Delhi,LCatterton,Angel,26000,2023-06-15,2023,2
Meesho,RealEstate,Rental Tech,Delhi,Lightspeed India,Angel,26000,2023-06-15,2023,2
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,2022-05-29,2022,2
LogiMart,E-commerce,Marketplace,Noida,Elevation Capital,Series A,5977000,2024-01-16,2024,1
LogiMart,E-commerce,Marketplace,Noida,Peak XV,Series A,5977000,2024-01-16,2024,1
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,2022-11-09,2022,4
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,2020-08-18,2020,3
Groww,Mobility,Ride Sharing,Pune,A91 Partners,Angel,46000,2020-09-27,2020,3
Groww,Mobility,Ride Sharing,Pune,IFC,Angel,46000,2020-09-27,2020,3
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,2025-05-08,2025,2
CRED,FinTech,WealthTech,Gurugram,Falcon Edge,Pre-Seed,82000,2020-05-03,2020,2
CRED,FinTech,WealthTech,Gurugram,Ribbit Capital,Pre-Seed,82000,2020-05-03,2020,2
AeroAnalytics,FoodTech,Grocery,Chennai,Elevation Capital,Seed,235000,2023-01-03,2023,1
AeroAnalytics,FoodTech,Grocery,Chennai,Ribbit Capital,Seed,235000,2023-01-03,2023,1
FreshTech_329,EdTech,K12,Noida,Ribbit Capital,Seed,125000,2023-04-16,2023,2
FreshTech_329,EdTech,K12,Noida,Ventures India,Seed,125000,2023-04-16,2023,2
FreshTech,Media,Social,Bengaluru,Nexus Venture Partners,Seed,186000,2025-03-08,2025,1
FreshTech,Media,Social,Bengaluru,Omidyar Network,Seed,186000,2025-03-08,2025,1
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,2023-12-20,2023,4
BharatPe,Consumer Electronics,Wearables,Noida,Matrix Partners India,Series A,1040000,2024-08-11,2024,3
BharatPe,Consumer Electronics,Wearables,Noida,Ventures India,Series A,1040000,2024-08-11,2024,3
BharatPe,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,1040000,2024-08-11,2024,3
NextStack,E-commerce,Quick Commerce,Pune,Kedaara Capital,Series C,27387000,2021-07-11,2021,3
NextStack,E-commerce,Quick Commerce,Pune,Tiger Global,Series C,27387000,2021-07-11,2021,3
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,2022-10-20,2022,4
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,2022-11-08,2022,4
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,2021-01-01,2021,1
QuantumDrive,EdTech,Coding Bootcamp,Pune,Falcon Edge,Seed,670000,2020-06-08,2020,2
QuantumDrive,EdTech,Coding Bootcamp,Pune,Y Combinator,Seed,670000,2020-06-08,2020,2
Udaan,HealthTech,Diagnostics,Noida,Mirae Asset,Debt,1904000,2025-05-07,2025,2
Udaan,HealthTech,Diagnostics,Noida,Tiger Global,Debt,1904000,2025-05-07,2025,2
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,2020-01-17,2020,1
Oyo,Media,Streaming,Gurugram,Bessemer Venture Partners,Series A,3786000,2023-04-26,2023,2
Oyo,Media,Streaming,Gurugram,Tiger Global,Series A,3786000,2023-04-26,2023,2
HomeMart,FoodTech,Cloud Kitchen,Gurugram,IFC,Series A,3605000,2023-07-26,2023,3
HomeMart,FoodTech,Cloud Kitchen,Gurugram,Peak XV,Series A,3605000,2023-07-26,2023,3
HomeMart,FoodTech,Cloud Kitchen,Gurugram,Sequoia Capital India,Series A,3605000,2023-07-26,2023,3
UrbanSolutions,Media,Content,Mumbai,Mirae Asset,Seed,95000,2021-05-02,2021,2
UrbanSolutions,Media,Content,Mumbai,Tiger Global,Seed,95000,2021-05-02,2021,2
SmartCare,E-commerce,Quick Commerce,Gurugram,Kedaara Capital,Angel,18000,2022-11-30,2022,4
SmartCare,E-commerce,Quick Commerce,Gurugram,Y Combinator,Angel,18000,2022-11-30,2022,4
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,2023-03-08,2023,1
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,2024-02-15,2024,1
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,2020-08-04,2020,3
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,2022-08-06,2022,3
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,2024-09-07,2024,3
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,2021-06-16,2021,2
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,2022-08-04,2022,3
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,2022-03-31,2022,1
WorkFit,Logistics,Last Mile,Bengaluru,Info Edge,Debt,5995000,2021-02-08,2021,1
WorkFit,Logistics,Last Mile,Bengaluru,LCatterton,Debt,5995000,2021-02-08,2021,1
WorkFit,Logistics,Last Mile,Bengaluru,Nexus Venture Partners,Debt,5995000,2021-02-08,2021,1
FreshBox,Consumer Electronics,Audio,Delhi,Kalaari Capital,Angel,8000,2022-06-06,2022,2
FreshBox,Consumer Electronics,Audio,Delhi,Prosus Ventures,Angel,8000,2022-06-06,2022,2
FreshBox,Consumer Electronics,Audio,Delhi,Sequoia Capital India,Angel,8000,2022-06-06,2022,2
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,65000,2022-07-02,2022,3
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000,2020-06-28,2020,2
QuantumDrive,Retail,Fashion,Gurugram,Bessemer Venture Partners,Series B,5381000,2024-06-30,2024,2
QuantumDrive,Retail,Fashion,Gurugram,Tiger Global,Series B,5381000,2024-06-30,2024,2
Licious,Consumer Electronics,Smart Home,Kolkata,Elevation Capital,Seed,434000,2023-03-04,2023,1
Licious,Consumer Electronics,Smart Home,Kolkata,SoftBank Vision Fund,Seed,434000,2023-03-04,2023,1
GrowthFlow,EdTech,Test Prep,Hyderabad,Omidyar Network,Seed,1604000,2022-08-24,2022,3
GrowthFlow,EdTech,Test Prep,Hyderabad,Y Combinator,Seed,1604000,2022-08-24,2022,3
PharmEasy,HealthTech,Telemedicine,Gurugram,LCatterton,Series B,24655000,2021-06-29,2021,2
PharmEasy,HealthTech,Telemedicine,Gurugram,Zodius Capital,Series B,24655000,2021-06-29,2021,2
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000,2024-09-27,2024,3
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000,2023-12-05,2023,4
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,271000,2022-10-01,2022,4
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,4382000,2020-01-02,2020,1
CloudPay,SaaS,DevTools,Pune,Kedaara Capital,Seed,1612000,2020-10-29,2020,4
CloudPay,SaaS,DevTools,Pune,Nexus Venture Partners,Seed,1612000,2020-10-29,2020,4
FreshToHome,Enterprise,Automation,Pune,Accel,Bridge,208000,2022-02-04,2022,1
FreshToHome,Enterprise,Automation,Pune,Kalaari Capital,Bridge,208000,2022-02-04,2022,1
FreshToHome,Enterprise,Automation,Pune,Peak XV,Bridge,208000,2022-02-04,2022,1
Oyo,SaaS,DevTools,Delhi,Blume Ventures,Series B,71839000,2022-06-13,2022,2
Oyo,SaaS,DevTools,Delhi,Peak XV,Series B,71839000,2022-06-13,2022,2
Oyo,SaaS,DevTools,Delhi,Ribbit Capital,Series B,71839000,2022-06-13,2022,2
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,1411000,2023-11-11,2023,4
Rapido,Media,Streaming,Chennai,Omidyar Network,Series D,78480000,2024-04-27,2024,2
Rapido,Media,Streaming,Chennai,Sequoia Capital India,Series D,78480000,2024-04-27,2024,2
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,65000,2020-06-08,2020,2
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,25000,2021-03-05,2021,1
NextFlow,E-commerce,Quick Commerce,Bengaluru,IFC,Pre-Series A,104000,2024-02-09,2024,1
NextFlow,E-commerce,Quick Commerce,Bengaluru,Tiger Global,Pre-Series A,104000,2024-02-09,2024,1
NimbusLabs,SaaS,MarTech,Mumbai,Prosus Ventures,Series C,25829000,2024-06-03,2024,2
NimbusLabs,SaaS,MarTech,Mumbai,Ribbit Capital,Series C,25829000,2024-06-03,2024,2
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,621000,2021-10-14,2021,4
Groww,SaaS,DevTools,Chennai,Peak XV,Seed,65000,2020-06-02,2020,2
Groww,SaaS,DevTools,Chennai,Tiger Global,Seed,65000,2020-06-02,2020,2
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2372000,2023-08-31,2023,3
DriveEdge,E-commerce,D2C,Gurugram,A91 Partners,Bridge,1129000,2022-04-18,2022,2
DriveEdge,E-commerce,D2C,Gurugram,Peak XV,Bridge,1129000,2022-04-18,2022,2
HealthAnalytics,E-commerce,Quick Commerce,Chennai,Nexus Venture Partners,Series A,1065000,2024-09-16,2024,3
HealthAnalytics,E-commerce,Quick Commerce,Chennai,Y Combinator,Series A,1065000,2024-09-16,2024,3
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,9076000,2020-07-17,2020,3
Cars24,E-commerce,Fashion,Mumbai,Mirae Asset,Seed,141000,2022-03-25,2022,1
Cars24,E-commerce,Fashion,Mumbai,Prosus Ventures,Seed,141000,2022-03-25,2022,1
Bounce,RealEstate,Rental Tech,Chennai,Info Edge,Seed,77000,2024-12-18,2024,4
Bounce,RealEstate,Rental Tech,Chennai,Y Combinator,Seed,77000,2024-12-18,2024,4
CureFit,Consumer Electronics,Wearables,Hyderabad,Tiger Global,Seed,653000,2021-07-04,2021,3
CureFit,Consumer Electronics,Wearables,Hyderabad,Ventures India,Seed,653000,2021-07-04,2021,3
Wakefit,E-commerce,D2C,Noida,Lightspeed India,Pre-Series A,426000,2024-03-29,2024,1
Wakefit,E-commerce,D2C,Noida,Tiger Global,Pre-Series A,426000,2024-03-29,2024,1
UrbanDrive,FoodTech,Grocery,Kolkata,Elevation Capital,Series A,10764000,2021-04-27,2021,2
UrbanDrive,FoodTech,Grocery,Kolkata,Kalaari Capital,Series A,10764000,2021-04-27,2021,2
GreenMart,Mobility,Micro Mobility,Ahmedabad,Blume Ventures,Seed,753000,2025-04-28,2025,2
GreenMart,Mobility,Micro Mobility,Ahmedabad,Tiger Global,Seed,753000,2025-04-28,2025,2
Meesho,Retail,E-Retail,Delhi,Info Edge,Pre-Seed,127000,2020-06-09,2020,2
Meesho,Retail,E-Retail,Delhi,Ribbit Capital,Pre-Seed,127000,2020-06-09,2020,2
Meesho,Retail,E-Retail,Delhi,Tiger Global,Pre-Seed,127000,2020-06-09,2020,2
Swiggy,SaaS,B2B SaaS,Mumbai,Elevation Capital,Pre-Series A,191000,2022-03-24,2022,1
Swiggy,SaaS,B2B SaaS,Mumbai,SoftBank Vision Fund,Pre-Series A,191000,2022-03-24,2022,1
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,1617000,2022-05-09,2022,2
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,7635000,2020-07-25,2020,3
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,8890000,2022-08-26,2022,3
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000,2024-12-26,2024,4
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000,2020-02-11,2020,1
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global,Series D,117757000,2023-11-03,2023,4
HomeFoods,Media,Content,Pune,Blume Ventures,Seed,877000,2022-05-03,2022,2
HomeFoods,Media,Content,Pune,Ribbit Capital,Seed,877000,2022-05-03,2022,2
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,50332000,2024-11-11,2024,4
NextSense_395,Media,Streaming,Chennai,IFC,Seed,1549000,2024-10-09,2024,4
NextSense_395,Media,Streaming,Chennai,Sequoia Capital India,Seed,1549000,2024-10-09,2024,4
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000,2020-04-13,2020,2
SkillSolutions,Consumer Electronics,Smart Home,Chennai,Omidyar Network,Series B,16426000,2020-09-10,2020,3
SkillSolutions,Consumer Electronics,Smart Home,Chennai,Sequoia Capital India,Series B,16426000,2020-09-10,2020,3
SkillSolutions,Consumer Electronics,Smart Home,Chennai,Y Combinator,Series B,16426000,2020-09-10,2020,3
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,798000,2020-11-30,2020,4
Bounce,Logistics,Last Mile,Chennai,Bessemer Venture Partners,Pre-Seed,114000,2024-10-14,2024,4
Bounce,Logistics,Last Mile,Chennai,Lightspeed India,Pre-Seed,114000,2024-10-14,2024,4
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,6655000,2022-11-17,2022,4
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,230417000,2021-04-03,2021,2
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,320000,2022-02-10,2022,1
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,671000,2020-07-28,2020,3
NimbusWorks,AgriTech,Marketplace,Hyderabad,Tiger Global,Seed,163000,2020-08-09,2020,3
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,1360000,2022-11-25,2022,4
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,14710000,2021-08-28,2021,3
CoreConnect,FinTech,NeoBank,Ahmedabad,Kedaara Capital,Series C,20596000,2021-12-03,2021,4
CoreConnect,FinTech,NeoBank,Ahmedabad,Prosus Ventures,Series C,20596000,2021-12-03,2021,4
CoreConnect,FinTech,NeoBank,Ahmedabad,Ribbit Capital,Series C,20596000,2021-12-03,2021,4
FarmBox,RealEstate,Home Services,Noida,Accel,Seed,1411000,2020-12-14,2020,4
FarmBox,RealEstate,Home Services,Noida,Blume Ventures,Seed,1411000,2020-12-14,2020,4
FarmBox,RealEstate,Home Services,Noida,IFC,Seed,1411000,2020-12-14,2020,4
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000,2025-01-16,2025,1
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,47487000,2021-11-09,2021,4
Urban Company,Consumer Electronics,Audio,Kolkata,Omidyar Network,Seed,1664000,2023-07-23,2023,3
Urban Company,Consumer Electronics,Audio,Kolkata,Ribbit Capital,Seed,1664000,2023-07-23,2023,3
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,13122000,2022-04-26,2022,2
WorkPay,EdTech,UpSkilling,Chennai,IFC,Debt,3529000,2025-01-02,2025,1
WorkPay,EdTech,UpSkilling,Chennai,Nexus Venture Partners,Debt,3529000,2025-01-02,2025,1
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,514000,2020-04-28,2020,2
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,67366000,2024-05-15,2024,2
DriveEdge,FoodTech,Food Delivery,Kolkata,Lightspeed India,Pre-Series A,196000,2020-03-18,2020,1
DriveEdge,FoodTech,Food Delivery,Kolkata,Y Combinator,Pre-Series A,196000,2020-03-18,2020,1
UrbanStack,Retail,Fashion,Gurugram,IFC,Pre-Seed,43000,2020-01-09,2020,1
UrbanStack,Retail,Fashion,Gurugram,Lightspeed India,Pre-Seed,43000,2020-01-09,2020,1
UrbanStack,Retail,Fashion,Gurugram,Ventures India,Pre-Seed,43000,2020-01-09,2020,1
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,598000,2020-05-13,2020,2
Cars24,Consumer Electronics,Smart Home,Noida,LCatterton,Series A,7671000,2021-11-22,2021,4
Cars24,Consumer Electronics,Smart Home,Noida,Tiger Global,Series A,7671000,2021-11-22,2021,4
DataHive,Consumer Electronics,Wearables,Gurugram,Lightspeed India,Seed,927000,2025-01-31,2025,1
DataHive,Consumer Electronics,Wearables,Gurugram,Sequoia Capital India,Seed,927000,2025-01-31,2025,1
LogiSense,FinTech,NeoBank,Noida,IFC,Seed,920000,2022-01-20,2022,1
LogiSense,FinTech,NeoBank,Noida,Ribbit Capital,Seed,920000,2022-01-20,2022,1
LogiSense,FinTech,NeoBank,Noida,Sequoia Capital India,Seed,920000,2022-01-20,2022,1
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000,2023-09-17,2023,3
DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,312000,2023-01-25,2023,1
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,62000,2023-09-17,2023,3
SkillFlow,Media,Social,Chennai,Kedaara Capital,Series D,177214000,2020-08-02,2020,3
SkillFlow,Media,Social,Chennai,Nexus Venture Partners,Series D,177214000,2020-08-02,2020,3
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,255000,2021-02-13,2021,1
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,154000,2022-10-13,2022,4
AgriHive,FinTech,Payments,Mumbai,Nexus Venture Partners,Angel,14000,2024-09-06,2024,3
AgriHive,FinTech,Payments,Mumbai,Prosus Ventures,Angel,14000,2024-09-06,2024,3
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,6917000,2020-07-26,2020,3
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,85000,2024-07-23,2024,3
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,41297000,2020-07-13,2020,3
FinSense,HealthTech,Pharmacy,Pune,Matrix Partners India,Angel,32000,2025-05-10,2025,2
FinSense,HealthTech,Pharmacy,Pune,Ventures India,Angel,32000,2025-05-10,2025,2
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,126000,2022-07-23,2022,3
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global,Seed,68000,2024-01-27,2024,1
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,34916000,2021-01-06,2021,1
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,1218000,2022-09-26,2022,3
Dailyhunt,FinTech,Payments,Hyderabad,Falcon Edge,Series B,48819000,2020-01-26,2020,1
Dailyhunt,FinTech,Payments,Hyderabad,IFC,Series B,48819000,2020-01-26,2020,1
Dailyhunt,FinTech,Payments,Hyderabad,Ventures India,Series B,48819000,2020-01-26,2020,1
Zepto,RealEstate,Home Services,Noida,Accel,Series A,6770000,2023-12-05,2023,4
Zepto,RealEstate,Home Services,Noida,Prosus Ventures,Series A,6770000,2023-12-05,2023,4
LogiMart,RealEstate,Rental Tech,Chennai,LCatterton,Seed,67000,2024-08-19,2024,3
LogiMart,RealEstate,Rental Tech,Chennai,Omidyar Network,Seed,67000,2024-08-19,2024,3
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000,2020-06-02,2020,2
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,A91 Partners,Series C,289340000,2020-06-10,2020,2
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,Info Edge,Series C,289340000,2020-06-10,2020,2
Unacademy,Enterprise,Security,Kolkata,Accel,Seed,199000,2022-10-15,2022,4
Unacademy,Enterprise,Security,Kolkata,Kalaari Capital,Seed,199000,2022-10-15,2022,4
Unacademy,Enterprise,Security,Kolkata,Ribbit Capital,Seed,199000,2022-10-15,2022,4
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000,2023-07-29,2023,3
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,180699000,2024-07-30,2024,3
FreshBox,AgriTech,Marketplace,Kolkata,Accel,Series B,69115000,2022-01-14,2022,1
FreshBox,AgriTech,Marketplace,Kolkata,Info Edge,Series B,69115000,2022-01-14,2022,1
FreshBox,AgriTech,Marketplace,Kolkata,Prosus Ventures,Series B,69115000,2022-01-14,2022,1
Rapido,SaaS,HRTech,Hyderabad,Accel,Series A,14442000,2022-02-04,2022,1
Rapido,SaaS,HRTech,Hyderabad,LCatterton,Series A,14442000,2022-02-04,2022,1
Rapido,SaaS,HRTech,Hyderabad,Mirae Asset,Series A,14442000,2022-02-04,2022,1
Freshworks,E-commerce,D2C,Ahmedabad,Lightspeed India,Seed,805000,2020-09-04,2020,3
Freshworks,E-commerce,D2C,Ahmedabad,Zodius Capital,Seed,805000,2020-09-04,2020,3
FinFoods,E-commerce,Fashion,Bengaluru,Bessemer Venture Partners,Angel,15000,2024-09-11,2024,3
FinFoods,E-commerce,Fashion,Bengaluru,Info Edge,Angel,15000,2024-09-11,2024,3
FinFoods,E-commerce,Fashion,Bengaluru,Omidyar Network,Angel,15000,2024-09-11,2024,3
ClearDekho,HealthTech,Health Analytics,Bengaluru,Peak XV,Series A,1254000,2020-04-09,2020,2
ClearDekho,HealthTech,Health Analytics,Bengaluru,Zodius Capital,Series A,1254000,2020-04-09,2020,2
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,879000,2024-07-27,2024,3
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000,2024-04-10,2024,2
DataHive,Consumer Electronics,Audio,Delhi,A91 Partners,Pre-Series A,266000,2023-12-04,2023,4
DataHive,Consumer Electronics,Audio,Delhi,Falcon Edge,Pre-Series A,266000,2023-12-04,2023,4
DataHive,Consumer Electronics,Audio,Delhi,Zodius Capital,Pre-Series A,266000,2023-12-04,2023,4
HyperLabs,Mobility,Micro Mobility,Gurugram,Elevation Capital,Seed,1416000,2023-07-02,2023,3
HyperLabs,Mobility,Micro Mobility,Gurugram,Prosus Ventures,Seed,1416000,2023-07-02,2023,3
HyperLabs,Mobility,Micro Mobility,Gurugram,SoftBank Vision Fund,Seed,1416000,2023-07-02,2023,3
EduTech,Media,Streaming,Pune,A91 Partners,Series B,6806000,2024-04-07,2024,2
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,183477000,2022-05-15,2022,2
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global,Seed,52000,2024-05-27,2024,2
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,71157000,2020-03-07,2020,1
Zomato,AgriTech,Marketplace,Noida,A91 Partners,Growth,58010000,2024-02-29,2024,1
Zomato,AgriTech,Marketplace,Noida,Bessemer Venture Partners,Growth,58010000,2024-02-29,2024,1
Zomato,AgriTech,Marketplace,Noida,Matrix Partners India,Growth,58010000,2024-02-29,2024,1
SmartTech,FinTech,InsurTech,Chennai,A91 Partners,Pre-Series A,131000,2024-06-02,2024,2
SmartTech,FinTech,InsurTech,Chennai,Sequoia Capital India,Pre-Series A,131000,2024-06-02,2024,2
SmartTech,FinTech,InsurTech,Chennai,SoftBank Vision Fund,Pre-Series A,131000,2024-06-02,2024,2
AutoStack,Enterprise,Security,Gurugram,A91 Partners,Angel,7000,2023-12-14,2023,4
AutoStack,Enterprise,Security,Gurugram,Ribbit Capital,Angel,7000,2023-12-14,2023,4
AutoStack,Enterprise,Security,Gurugram,Ventures India,Angel,7000,2023-12-14,2023,4
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,548000,2023-10-30,2023,4
NoBroker,Media,Streaming,Mumbai,A91 Partners,Pre-Series A,557000,2022-05-27,2022,2
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,430000,2023-12-24,2023,4
AgriSense,Retail,Fashion,Ahmedabad,A91 Partners,Series D,458292000,2021-09-08,2021,3
AgriSense,Retail,Fashion,Ahmedabad,Bessemer Venture Partners,Series D,458292000,2021-09-08,2021,3
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,2760000,2025-05-13,2025,2
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,2168000,2020-07-07,2020,3
Meesho,RealEstate,Home Services,Pune,Falcon Edge,Pre-Series A,739000,2021-03-23,2021,1
Meesho,RealEstate,Home Services,Pune,Tiger Global,Pre-Series A,739000,2021-03-23,2021,1
MediSpace,SaaS,MarTech,Gurugram,Matrix Partners India,Angel,10000,2023-06-10,2023,2
MediSpace,SaaS,MarTech,Gurugram,Tiger Global,Angel,10000,2023-06-10,2023,2
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,1746000,2024-01-22,2024,1
NimbusWorks,Mobility,EV,Kolkata,Falcon Edge,Pre-Seed,21000,2025-01-13,2025,1
NimbusWorks,Mobility,EV,Kolkata,Lightspeed India,Pre-Seed,21000,2025-01-13,2025,1
NimbusWorks,Mobility,EV,Kolkata,Peak XV,Pre-Seed,21000,2025-01-13,2025,1
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,187000,2020-05-14,2020,2
Meesho,Enterprise,Automation,Chennai,IFC,Series D,55224000,2021-02-25,2021,1
Meesho,Enterprise,Automation,Chennai,Zodius Capital,Series D,55224000,2021-02-25,2021,1
DriveEdge,E-commerce,Marketplace,Bengaluru,Accel,Series A,11170000,2021-11-10,2021,4
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,350000,2024-08-09,2024,3
Freshworks,FoodTech,Food Delivery,Chennai,Falcon Edge,Series A,14717000,2020-02-04,2020,1
Freshworks,FoodTech,Food Delivery,Chennai,Prosus Ventures,Series A,14717000,2020-02-04,2020,1
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,24000,2024-10-03,2024,4
AeroAnalytics,Retail,Fashion,Hyderabad,Y Combinator,Series A,4481000,2021-07-30,2021,3
AeroAnalytics,Retail,Fashion,Hyderabad,Zodius Capital,Series A,4481000,2021-07-30,2021,3
ClearTax,Consumer Electronics,Audio,Noida,Bessemer Venture Partners,Seed,1786000,2024-03-09,2024,1
ClearTax,Consumer Electronics,Audio,Noida,IFC,Seed,1786000,2024-03-09,2024,1
Urban Company,RealEstate,PropTech,Hyderabad,Peak XV,Series B,21323000,2025-02-15,2025,1
Urban Company,RealEstate,PropTech,Hyderabad,Ribbit Capital,Series B,21323000,2025-02-15,2025,1
Urban Company,RealEstate,PropTech,Hyderabad,Sequoia Capital India,Series B,21323000,2025-02-15,2025,1
SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,426000,2023-01-26,2023,1
FoodSolutions,RealEstate,Rental Tech,Delhi,Lightspeed India,Seed,651000,2021-03-28,2021,1
FoodSolutions,RealEstate,Rental Tech,Delhi,Zodius Capital,Seed,651000,2021-03-28,2021,1
BlueTech,AgriTech,Supply Chain,Noida,Elevation Capital,Series A,3424000,2023-01-30,2023,1
CRED,Logistics,Last Mile,Gurugram,Y Combinator,Series B,28486000,2022-09-24,2022,3
FinSpace,AgriTech,Supply Chain,Gurugram,Ribbit Capital,Seed,432000,2022-07-11,2022,3
BigBasket,Media,Streaming,Delhi,Peak XV,Series A,11477000,2022-01-16,2022,1
Lenskart,FinTech,WealthTech,Gurugram,Elevation Capital,Series C,22619000,2023-12-29,2023,4
Lenskart,FinTech,WealthTech,Gurugram,Ribbit Capital,Series C,22619000,2023-12-29,2023,4
Lenskart,FinTech,WealthTech,Gurugram,Y Combinator,Series C,22619000,2023-12-29,2023,4
