Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter,Log_Amount,Stage_Group
NimbusWorks,AgriTech,Marketplace,Hyderabad,"Tiger Global, Tiger Global",Seed,163000,2020-08-09,2020,3,5.212187604403958,Early
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,1360000,2022-11-25,2022,4,6.133538908370218,Early
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,14710000,2021-08-28,2021,3,7.16761267272753,Growth
CoreConnect,FinTech,NeoBank,Ahmedabad,"Kedaara Capital, Prosus Ventures, Ribbit Capital",Series C,20596000,2021-12-03,2021,4,7.313782883155197,Late
FarmBox,RealEstate,Home Services,Noida,"Accel, Blume Ventures, IFC",Seed,1411000,2020-12-14,2020,4,6.149527013754348,Early
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000,2025-01-16,2025,1,4.845098040014257,Other
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,47487000,2021-11-09,2021,4,7.676574733814492,Late
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,1664000,2023-07-23,2023,3,6.221153321954705,Early
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,13122000,2022-04-26,2022,2,7.11800003342128,Growth
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,3529000,2025-01-02,2025,1,6.547651658359969,Other
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,514000,2020-04-28,2020,2,5.710963118995275,Early
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,67366000,2024-05-15,2024,2,7.828440760956643,Late
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,196000,2020-03-18,2020,1,5.292256071356476,Early
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,43000,2020-01-09,2020,1,4.633468455579586,Early
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,598000,2020-05-13,2020,2,5.776701183988411,Early
Cars24,Consumer Electronics,Smart Home,Noida,"LCatterton, Tiger Global",Series A,7671000,2021-11-22,2021,4,6.884851982745998,Growth
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,927000,2025-01-31,2025,1,5.967079734144497,Early
LogiSense,FinTech,NeoBank,Noida,"IFC, Ribbit Capital, Sequoia Capital India",Seed,920000,2022-01-20,2022,1,5.963787827345556,Early
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000,2023-09-17,2023,3,5.2455126678141495,Other
DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,312000,2023-01-25,2023,1,5.494154594018442,Early
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,62000,2023-09-17,2023,3,4.7923916894982534,Early
SkillFlow,Media,Social,Chennai,"Kedaara Capital, Nexus Venture Partners",Series D,177214000,2020-08-02,2020,3,8.248498028400771,Late
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,255000,2021-02-13,2021,1,5.4065401804339555,Early
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,154000,2022-10-13,2022,4,5.187520720836463,Early
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,14000,2024-09-06,2024,3,4.146128035678238,Early
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,6917000,2020-07-26,2020,3,6.839917775678681,Growth
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,85000,2024-07-23,2024,3,4.929418925714293,Early
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,41297000,2020-07-13,2020,3,7.615918503695911,Growth
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,32000,2025-05-10,2025,2,4.505149978319906,Early
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,126000,2022-07-23,2022,3,5.1003705451175625,Early
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global,Seed,68000,2024-01-27,2024,1,4.832508912706237,Early
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,34916000,2021-01-06,2021,1,7.543024484820762,Growth
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,1218000,2022-09-26,2022,3,6.085647288296856,Growth
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,48819000,2020-01-26,2020,1,7.688588879158805,Growth
Zepto,RealEstate,Home Services,Noida,"Accel, Prosus Ventures",Series A,6770000,2023-12-05,2023,4,6.830588668685144,Growth
LogiMart,RealEstate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,67000,2024-08-19,2024,3,4.826074802700826,Early
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000,2020-06-02,2020,2,7.796206484058361,Late
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,289340000,2020-06-10,2020,2,8.461408477126843,Late
Unacademy,Enterprise,Security,Kolkata,"Accel, Kalaari Capital, Ribbit Capital",Seed,199000,2022-10-15,2022,4,5.298853076409706,Early
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000,2023-07-29,2023,3,5.292256071356476,Other
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,180699000,2024-07-30,2024,3,8.256955749153718,Late
FreshBox,AgriTech,Marketplace,Kolkata,"Accel, Info Edge, Prosus Ventures",Series B,69115000,2022-01-14,2022,1,7.839572312356351,Growth
Rapido,SaaS,HRTech,Hyderabad,"Accel, LCatterton, Mirae Asset",Series A,14442000,2022-02-04,2022,1,7.159627340658673,Growth
Freshworks,E-commerce,D2C,Ahmedabad,"Lightspeed India, Zodius Capital",Seed,805000,2020-09-04,2020,3,5.905795880367869,Early
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,15000,2024-09-11,2024,3,4.176091259055681,Early
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,1254000,2020-04-09,2020,2,6.098297536494697,Growth
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,879000,2024-07-27,2024,3,5.943988875073772,Early
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000,2024-04-10,2024,2,4.431363764158987,Early
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,266000,2023-12-04,2023,4,5.424881636631067,Early
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,1416000,2023-07-02,2023,3,6.15106325335375,Early
EduTech,Media,Streaming,Pune,A91 Partners,Series B,6806000,2024-04-07,2024,2,6.8328919447597904,Growth
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,183477000,2022-05-15,2022,2,8.26358163044568,Late
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global,Seed,52000,2024-05-27,2024,2,4.7160033436347994,Early
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,71157000,2020-03-07,2020,1,7.852217629815059,Late
Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,58010000,2024-02-29,2024,1,7.763502865467597,Late
SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,131000,2024-06-02,2024,2,5.117271295655764,Early
AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,7000,2023-12-14,2023,4,3.845098040014257,Early
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,548000,2023-10-30,2023,4,5.738780558484369,Early
NoBroker,Media,Streaming,Mumbai,A91 Partners,Pre-Series A,557000,2022-05-27,2022,2,5.745855195173729,Early
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,430000,2023-12-24,2023,4,5.633468455579586,Early
AgriSense,Retail,Fashion,Ahmedabad,"A91 Partners, Bessemer Venture Partners",Series D,458292000,2021-09-08,2021,3,8.661142276214502,Late
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,2760000,2025-05-13,2025,2,6.440909082065217,Growth
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,2168000,2020-07-07,2020,3,6.336059277866349,Growth
Meesho,RealEstate,Home Services,Pune,"Falcon Edge, Tiger Global",Pre-Series A,739000,2021-03-23,2021,1,5.868644438394826,Early
MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,10000,2023-06-10,2023,2,4.0,Early
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,1746000,2024-01-22,2024,1,6.242044239369551,Early
NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,21000,2025-01-13,2025,1,4.3222192947339195,Early
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,187000,2020-05-14,2020,2,5.271841606536499,Early
Meesho,Enterprise,Automation,Chennai,"IFC, Zodius Capital",Series D,55224000,2021-02-25,2021,1,7.74212786038025,Late
DriveEdge,E-commerce,Marketplace,Bengaluru,Accel,Series A,11170000,2021-11-10,2021,4,7.048053173115609,Growth
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,350000,2024-08-09,2024,3,5.544068044350276,Early
Freshworks,FoodTech,Food Delivery,Chennai,"Falcon Edge, Prosus Ventures",Series A,14717000,2020-02-04,2020,1,7.167819289877132,Growth
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,24000,2024-10-03,2024,4,4.380211241711606,Early
AeroAnalytics,Retail,Fashion,Hyderabad,"Y Combinator, Zodius Capital",Series A,4481000,2021-07-30,2021,3,6.651374943913043,Growth
ClearTax,Consumer Electronics,Audio,Noida,"Bessemer Venture Partners, IFC",Seed,1786000,2024-03-09,2024,1,6.251881454552527,Early
Urban Company,RealEstate,PropTech,Hyderabad,"Peak XV, Ribbit Capital, Sequoia Capital India",Series B,21323000,2025-02-15,2025,1,7.328848306911196,Growth
SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,426000,2023-01-26,2023,1,5.629409599102719,Early
FoodSolutions,RealEstate,Rental Tech,Delhi,"Lightspeed India, Zodius Capital",Seed,651000,2021-03-28,2021,1,5.813580988568192,Early
BlueTech,AgriTech,Supply Chain,Noida,Elevation Capital,Series A,3424000,2023-01-30,2023,1,6.534533756005116,Growth
CRED,Logistics,Last Mile,Gurugram,Y Combinator,Series B,28486000,2022-09-24,2022,3,7.454631469952393,Growth
FinSpace,AgriTech,Supply Chain,Gurugram,Ribbit Capital,Seed,432000,2022-07-11,2022,3,5.635483746814912,Early
BigBasket,Media,Streaming,Delhi,Peak XV,Series A,11477000,2022-01-16,2022,1,7.059828381640982,Growth
Lenskart,FinTech,WealthTech,Gurugram,"Elevation Capital, Ribbit Capital, Y Combinator",Series C,22619000,2023-12-29,2023,4,7.354473400585812,Late
FreshBox,Consumer Electronics,Wearables,Pune,"Accel, Ribbit Capital",Series C,42802000,2022-09-24,2022,3,7.631464062673693,Late
HealthRise,Enterprise,Analytics,Noida,"Sequoia Capital India, Tiger Global",Seed,1666000,2024-02-11,2024,1,6.221674997070769,Early
ClearDekho,RealEstate,PropTech,Ahmedabad,"Lightspeed India, Sequoia Capital India",Series A,11144000,2024-04-24,2024,2,7.047041103415907,Growth
Swiggy,Mobility,Micro Mobility,Kolkata,Kalaari Capital,Series B,17686000,2020-10-31,2020,4,7.247629620679114,Growth
Cars24,HealthTech,Health Analytics,Noida,Falcon Edge,Series A,5362000,2022-03-23,2022,1,6.729326809646861,Growth
MediWorks,Retail,Fashion,Delhi,"A91 Partners, Blume Ventures",Series C,42389000,2020-10-14,2020,4,7.627253171236667,Late
GreenConnect,Consumer Electronics,Wearables,Bengaluru,Tiger Global,Seed,100000,2022-09-25,2022,3,5.0,Early
Nykaa,EdTech,Test Prep,Gurugram,Kalaari Capital,Series A,3510000,2024-06-08,2024,2,6.545307116465824,Growth
AutoFlow,FinTech,WealthTech,Mumbai,"Matrix Partners India, Zodius Capital",Series B,13318000,2022-12-03,2022,4,7.124439010556526,Growth
NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,383000,2023-08-31,2023,3,5.583198773968623,Early
UrbanSolutions,EdTech,Coding Bootcamp,Pune,"Bessemer Venture Partners, LCatterton",Series C,24686000,2021-12-07,2021,4,7.392450724656032,Late
MediHive,HealthTech,Health Analytics,Delhi,"Blume Ventures, Elevation Capital, Nexus Venture Partners",Seed,1820000,2022-11-19,2022,4,6.260071387985075,Early
Housejoy,RealEstate,PropTech,Chennai,Mirae Asset,Series C,289004000,2024-01-15,2024,1,8.460903853711239,Late
GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,100000,2020-03-29,2020,1,5.0,Early
BharatPe,HealthTech,Telemedicine,Ahmedabad,LCatterton,Seed,361000,2020-12-06,2020,4,5.557507201905658,Early
CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,113169000,2024-01-30,2024,1,8.053727478329945,Late
CoreSpace,HealthTech,Diagnostics,Chennai,"Blume Ventures, Zodius Capital",Series A,9059000,2024-06-15,2024,2,6.9570802596579,Growth
CureFit,HealthTech,Pharmacy,Kolkata,Y Combinator,Series A,6387000,2020-05-20,2020,2,6.805296916157985,Growth
LogiSense,EdTech,Coding Bootcamp,Delhi,"LCatterton, Omidyar Network",Series A,1553000,2020-12-29,2020,4,6.191171455728559,Growth
AeroAnalytics,E-commerce,Fashion,Delhi,LCatterton,Angel,77000,2023-01-09,2023,1,4.886490725172482,Early
Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,438231000,2023-11-29,2023,4,8.641703095846193,Late
AgriHive,FoodTech,Food Delivery,Ahmedabad,"A91 Partners, Info Edge, Matrix Partners India",Series C,261867000,2025-02-02,2025,1,8.41808077287772,Late
PharmEasy,Enterprise,Analytics,Hyderabad,"Matrix Partners India, Sequoia Capital India",Series A,7137000,2023-01-18,2023,1,6.853515696756928,Growth
MediHive,E-commerce,Grocery,Bengaluru,"Accel, Bessemer Venture Partners, Kalaari Capital",Pre-Series A,411000,2021-02-24,2021,1,5.613841821876069,Early
DriveLoop,Logistics,Supply Chain,Noida,"Elevation Capital, Prosus Ventures",Pre-Series A,262000,2022-01-18,2022,1,5.418301291319746,Early
CoreFlow,Retail,Fashion,Kolkata,"Mirae Asset, Tiger Global",Seed,1560000,2023-02-19,2023,1,6.193124598354461,Early
FoodSolutions,FoodTech,Grocery,Delhi,Ventures India,Series D,367311000,2023-09-12,2023,3,8.56503393451945,Late
EduMart,HealthTech,Telemedicine,Gurugram,Bessemer Venture Partners,Series A,1130000,2024-05-28,2024,2,6.05307844348342,Growth
Udaan,HealthTech,Health Analytics,Bengaluru,Mirae Asset,Series C,21480000,2024-08-13,2024,3,7.332034277027518,Late
DriveEdge,Logistics,Last Mile,Pune,"Omidyar Network, Tiger Global, Y Combinator",Seed,200000,2020-03-18,2020,1,5.301029995663981,Early
SmartTech,AgriTech,Supply Chain,Delhi,Lightspeed India,Series B,47312000,2022-06-18,2022,2,7.674971307182043,Growth
SmartTech,Retail,Fashion,Noida,"Blume Ventures, Sequoia Capital India",Series A,14492000,2021-04-19,2021,2,7.161128325362499,Growth
MediWorks,HealthTech,Telemedicine,Hyderabad,"Falcon Edge, Kalaari Capital, Omidyar Network",Series C,30056000,2021-12-24,2021,4,7.477931182055328,Late
CRED,E-commerce,Grocery,Hyderabad,"Tiger Global, Y Combinator",Series B,25964000,2023-02-19,2023,1,7.414371600459086,Growth
SkillSolutions,EdTech,Coding Bootcamp,Chennai,Kalaari Capital,Series A,2805000,2021-06-18,2021,2,6.44793286559218,Growth
AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,1790000,2024-07-02,2024,3,6.252853030979893,Other
AutoStack,FoodTech,Grocery,Kolkata,Peak XV,Series C,195631000,2024-03-31,2024,1,8.291437674900397,Late
LogiRise,AgriTech,Supply Chain,Kolkata,"Ribbit Capital, Tiger Global",Seed,1102000,2020-05-18,2020,2,6.042181594515767,Early
HomeFoods,FoodTech,Food Delivery,Noida,Matrix Partners India,Series A,3558000,2023-12-06,2023,4,6.551205943747906,Growth
Bounce,FoodTech,Grocery,Pune,Mirae Asset,Seed,231000,2025-03-22,2025,1,5.363611979892144,Early
AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,137000,2023-10-31,2023,4,5.136720567156407,Other
CloudPay,EdTech,UpSkilling,Gurugram,Zodius Capital,Seed,62000,2024-09-05,2024,3,4.7923916894982534,Early
Licious,HealthTech,Telemedicine,Mumbai,"IFC, Mirae Asset, Sequoia Capital India",Angel,67000,2023-10-16,2023,4,4.826074802700826,Early
Razorpay,Enterprise,Security,Pune,"IFC, Mirae Asset",Series A,9037000,2022-10-05,2022,4,6.956024282280677,Growth
QuantumSolutions,Retail,Fashion,Delhi,"A91 Partners, Mirae Asset",Seed,1998000,2024-06-24,2024,2,6.300595483889963,Early
AeroAnalytics,Enterprise,Automation,Delhi,"Falcon Edge, Sequoia Capital India, SoftBank Vision Fund",Series A,14864000,2020-09-03,2020,3,7.172135696649566,Growth
FarmTech,E-commerce,D2C,Pune,A91 Partners,Series A,4500000,2021-06-15,2021,2,6.653212513775344,Growth
FinSpace,AgriTech,Smart Farming,Pune,Kalaari Capital,Seed,853000,2022-05-18,2022,2,5.930949031167523,Early
NimbusWorks,FoodTech,Food Delivery,Kolkata,"Prosus Ventures, Zodius Capital",Seed,1631000,2020-09-25,2020,3,6.212453961040276,Early
SkillFlow,Mobility,EV,Chennai,"Bessemer Venture Partners, Blume Ventures, Nexus Venture Partners",Seed,1149000,2024-06-26,2024,2,6.0603200286882855,Early
Chargebee,HealthTech,Pharmacy,Kolkata,"Accel, Tiger Global",Seed,125000,2023-02-25,2023,1,5.096910013008056,Early
BharatPe,FinTech,Lending,Hyderabad,Info Edge,Series A,3388000,2023-07-13,2023,3,6.529943401658669,Growth
WorkStack,SaaS,HRTech,Pune,IFC,Pre-Seed,27000,2020-09-05,2020,3,4.431363764158987,Early
BlueRise,RealEstate,Rental Tech,Noida,Y Combinator,Seed,1688000,2024-05-17,2024,2,6.227372442289636,Early
Myntra,Retail,Fashion,Kolkata,"Elevation Capital, Ribbit Capital",Private Equity,403808000,2022-02-19,2022,1,8.6061749186726,Late
GreenConnect,RealEstate,Home Services,Chennai,"IFC, Tiger Global",Series B,9425000,2023-03-16,2023,1,6.97428135887783,Growth
BharatPe,SaaS,DevTools,Pune,"Elevation Capital, Matrix Partners India, Ribbit Capital",Seed,596000,2021-08-19,2021,3,5.7752462597402365,Early
Ola,Retail,Grocery,Ahmedabad,"Blume Ventures, IFC",Series A,5333000,2022-07-11,2022,3,6.726971583682877,Growth
FreshSolutions,RealEstate,Home Services,Mumbai,Accel,Seed,187000,2022-03-24,2022,1,5.271841606536499,Early
FarmBox,FinTech,InsurTech,Noida,Matrix Partners India,Series C,27201000,2020-06-19,2020,2,7.434584870449593,Late
HyperLoop,FoodTech,Food Delivery,Gurugram,"Nexus Venture Partners, Ribbit Capital",Seed,595000,2021-08-04,2021,3,5.77451696572855,Early
Lenskart,FinTech,Payments,Pune,"IFC, Mirae Asset",Growth,197383000,2021-10-28,2021,4,8.29530974547586,Late
SkillFlow,HealthTech,Diagnostics,Ahmedabad,"A91 Partners, Falcon Edge, Ribbit Capital",Series A,8097000,2023-07-16,2023,3,6.908324139276179,Growth
FreshTech,Consumer Electronics,Smart Home,Gurugram,Y Combinator,Series C,81807000,2022-06-23,2022,2,7.912790466645709,Late
Swiggy,HealthTech,Pharmacy,Bengaluru,SoftBank Vision Fund,Pre-Seed,142000,2024-07-27,2024,3,5.152288344383057,Early
CoreSpace,Media,Content,Kolkata,"Bessemer Venture Partners, Omidyar Network",Seed,383000,2024-04-17,2024,2,5.583198773968623,Early
MediHive,EdTech,Coding Bootcamp,Noida,Kedaara Capital,Series A,4568000,2021-05-26,2021,2,6.659726095237792,Growth
UrbanDrive,EdTech,UpSkilling,Mumbai,"LCatterton, Ventures India",Pre-Series A,753000,2021-05-05,2021,2,5.876794976200701,Early
SkillFlow,Media,Streaming,Hyderabad,Blume Ventures,Pre-Series A,253000,2024-10-13,2024,4,5.4031205211758175,Early
Cars24,E-commerce,Fashion,Ahmedabad,"Mirae Asset, SoftBank Vision Fund",Series A,1438000,2023-12-05,2023,4,6.157758886046864,Growth
WorkPay_557,Mobility,Ride Sharing,Delhi,Nexus Venture Partners,Bridge,56000,2021-07-31,2021,3,4.748188027006201,Other
Dailyhunt,Media,Social,Gurugram,"Kalaari Capital, Lightspeed India",Seed,810000,2020-01-31,2020,1,5.9084850188786495,Early
Chargebee,SaaS,MarTech,Bengaluru,Tiger Global,Seed,493000,2024-09-23,2024,3,5.69284691927723,Early
DriveFit_560,Consumer Electronics,Audio,Gurugram,"Nexus Venture Partners, Zodius Capital",Angel,41000,2021-05-27,2021,2,4.6127838567197355,Early
LogiMart,Consumer Electronics,Audio,Bengaluru,Falcon Edge,Seed,110000,2024-02-14,2024,1,5.041392685158225,Early
FarmTech,RealEstate,Home Services,Pune,Ventures India,Seed,83000,2024-01-31,2024,1,4.919078092376074,Early
NeoTech,RealEstate,Home Services,Gurugram,"Accel, Lightspeed India, Ribbit Capital",Pre-Series A,103000,2020-04-16,2020,2,5.012837224705172,Early
NeoSense_564,Retail,Grocery,Ahmedabad,Sequoia Capital India,Seed,182000,2024-06-04,2024,2,5.260071387985075,Early
Razorpay,AgriTech,Marketplace,Kolkata,Bessemer Venture Partners,Series B,25663000,2020-11-13,2020,4,7.409307423951978,Growth
LogiMart,E-commerce,Grocery,Pune,"Blume Ventures, Tiger Global, Y Combinator",Angel,16000,2024-04-04,2024,2,4.204119982655925,Early
AeroStack,EdTech,UpSkilling,Noida,Bessemer Venture Partners,Series C,65394000,2024-03-29,2024,1,7.815537902966021,Late
Dailyhunt,Media,Social,Bengaluru,"LCatterton, Mirae Asset, Nexus Venture Partners",Series B,61332000,2022-01-03,2022,1,7.787687127002862,Growth
Dailyhunt,Mobility,EV,Noida,"Blume Ventures, Y Combinator",Series B,13131000,2021-01-23,2021,1,7.118297801332776,Growth
InMobi,Logistics,Fleet Management,Noida,Info Edge,Seed,333000,2022-12-23,2022,4,5.52244423350632,Early
CureFit,Mobility,EV,Kolkata,"Blume Ventures, Y Combinator",Pre-Seed,122000,2023-07-30,2023,3,5.086359830674748,Early
PhonePe,AgriTech,Smart Farming,Ahmedabad,Prosus Ventures,Seed,216000,2024-01-16,2024,1,5.334453751150931,Early
UrbanDrive,RealEstate,Home Services,Noida,Kalaari Capital,Seed,496000,2021-08-02,2021,3,5.695481676490197,Early
AgriSense,Mobility,Micro Mobility,Mumbai,Blume Ventures,Pre-Seed,146000,2025-04-04,2025,2,5.164352855784437,Early
GreenMart,Consumer Electronics,Audio,Mumbai,"Falcon Edge, Prosus Ventures",Pre-Seed,178000,2023-08-07,2023,3,5.250420002308894,Early
CloudSolutions_576,EdTech,Test Prep,Bengaluru,"Accel, LCatterton, Mirae Asset",Angel,8000,2021-03-03,2021,1,3.9030899869919438,Early
HealthWorks,Media,Content,Pune,"Matrix Partners India, Tiger Global",Series C,245913000,2020-04-29,2020,2,8.390781487986505,Late
Groww,Enterprise,Security,Mumbai,"Accel, Kedaara Capital",Bridge,307000,2025-05-21,2025,2,5.487138375477186,Other
AeroHub,Mobility,Micro Mobility,Gurugram,A91 Partners,Series A,2012000,2025-04-24,2025,2,6.30362797638389,Growth
SkillRise,Retail,Fashion,Ahmedabad,"Blume Ventures, IFC, Prosus Ventures",Pre-Series A,288000,2022-07-28,2022,3,5.459392487759231,Early
BlueTech,Mobility,EV,Delhi,"LCatterton, Peak XV",Series A,14210000,2023-05-13,2023,2,7.1525940779274695,Growth
NeoSense,FoodTech,Grocery,Chennai,"A91 Partners, Matrix Partners India",Series C,75927000,2021-10-24,2021,4,7.880396240531349,Late
UrbanSolutions,Media,Content,Pune,Sequoia Capital India,Bridge,168000,2022-07-05,2022,3,5.225309281725863,Other
HealthAnalytics,Mobility,Ride Sharing,Hyderabad,IFC,Pre-Seed,86000,2021-03-30,2021,1,4.9344984512435675,Early
DataAnalytics,Media,Content,Noida,"Blume Ventures, Sequoia Capital India",Series A,1916000,2023-03-14,2023,1,6.282395504742525,Growth
Licious,HealthTech,Diagnostics,Hyderabad,Matrix Partners India,Pre-Series A,119000,2023-04-07,2023,2,5.075546961392531,Early
Delhivery,E-commerce,Grocery,Chennai,"Accel, Mirae Asset, SoftBank Vision Fund",Series A,1418000,2021-03-21,2021,1,6.151676230847047,Growth
Myntra,Enterprise,Automation,Ahmedabad,"Ribbit Capital, Sequoia Capital India",Series C,28289000,2020-07-14,2020,3,7.451617595666328,Late
QuantumAnalytics_589,FinTech,WealthTech,Pune,"Nexus Venture Partners, Peak XV",Growth,74657000,2022-06-08,2022,2,7.873070534349692,Late
HomeFoods,Enterprise,Automation,Bengaluru,"Falcon Edge, Tiger Global",Series B,7347000,2023-07-18,2023,3,6.866110039844377,Growth
FoodLoop,HealthTech,Pharmacy,Noida,Prosus Ventures,Series B,29557000,2020-11-09,2020,4,7.470660351591394,Growth
DriveFit,Retail,Fashion,Ahmedabad,"Elevation Capital, Kalaari Capital",Series A,1636000,2021-03-30,2021,1,6.213783299335304,Growth
LogiSense,Consumer Electronics,Smart Home,Bengaluru,Kalaari Capital,Series A,2550000,2021-06-21,2021,2,6.4065401804339555,Growth
DriveEdge,HealthTech,Diagnostics,Kolkata,"Lightspeed India, Ribbit Capital",Series A,11342000,2022-09-26,2022,3,7.05468964294998,Growth
LogiMart,Logistics,Supply Chain,Pune,Accel,Series B,18607000,2023-03-25,2023,1,7.269676357629865,Growth
Flipkart,FoodTech,Food Delivery,Pune,"Bessemer Venture Partners, Prosus Ventures",Seed,587000,2021-12-06,2021,4,5.768638101247615,Early
Lenskart,SaaS,MarTech,Ahmedabad,Lightspeed India,Seed,94000,2020-04-01,2020,2,4.973127853599698,Early
NimbusWorks,Media,Social,Mumbai,"IFC, Peak XV",Series B,8521000,2021-05-12,2021,2,6.930490565306269,Growth
SmartTech_599,Media,Social,Hyderabad,Lightspeed India,Series A,1117000,2020-02-16,2020,1,6.048053173115609,Growth
Meesho,EdTech,UpSkilling,Noida,Kedaara Capital,Series A,1580000,2024-02-03,2024,1,6.198657086954422,Growth
PhonePe,FoodTech,Grocery,Noida,Elevation Capital,Pre-Seed,38000,2020-12-14,2020,4,4.57978359661681,Early
SkillFlow_602,RealEstate,PropTech,Mumbai,"IFC, Prosus Ventures",Pre-Series A,150000,2021-07-09,2021,3,5.176091259055681,Early
PhonePe,Logistics,Fleet Management,Chennai,"Accel, Tiger Global",Seed,69000,2022-02-18,2022,1,4.838849090737256,Early
HyperLabs,AgriTech,Marketplace,Mumbai,"A91 Partners, Kedaara Capital",Seed,78000,2022-10-22,2022,4,4.892094602690481,Early
Razorpay,EdTech,UpSkilling,Pune,Sequoia Capital India,Series A,3483000,2024-03-04,2024,1,6.541953474458237,Growth
AgriFit,Logistics,Last Mile,Noida,"Kalaari Capital, Matrix Partners India, Tiger Global",Seed,107000,2020-05-06,2020,2,5.02938377768521,Early
